#,t_min,Country,City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year,Ref.
22,31,Mexico,Mexico City,"14.6
(58.3)","15.9
(60.6)","18.1
(64.6)","19.6
(67.3)","20.0
(68.0)","19.4
(66.9)","18.2
(64.8)","18.3
(64.9)","18.0
(64.4)","17.1
(62.8)","16.3
(61.3)","15.0
(59.0)","17.5
(63.5)",[283]
23,31,Panama,Panama City,"28
(82)","28
(82)","28
(82)","28
(82)","28
(82)","27
(81)","27
(81)","27
(81)","27
(81)","27
(81)","27
(81)","27
(81)","28
(82)",[290]
24,31,US,"Washington,D.C.","2.3
(36.1)","3.9
(39.1)","8.3
(46.9)","13.8
(56.9)","18.9
(66.1)","24.1
(75.3)","26.6
(79.8)","25.7
(78.2)","21.7
(71.1)","15.3
(59.6)","9.8
(49.6)","4.3
(39.8)","14.6
(58.2)",[2
25,213,Australia,Sydney,"22.3
(72.1)","22.3
(72.1)","21.2
(70.2)","18.5
(65.3)","15.5
(59.9)","13.1
(55.6)","12.2
(54.0)","13.4
(56.1)","15.5
(59.9)","17.8
(64.0)","19.6
(67.3)","21.3
(70.3)","17.7
(63.9)",[353]
26,213,Fiji,Suva,"27.4
(81.3)","27.6
(81.7)","26.4
(79.5)","26.6
(79.9)","25.4
(77.7)","24.6
(76.3)","23.8
(74.8)","23.7
(74.7)","24.1
(75.4)","25.1
(77.2)","26.1
(79.0)","26.9
(80.4)","25.6
(78.1)",
27,213,New Zealand,Auckland,"19.1
(66.4)","19.7
(67.5)","18.4
(65.1)","16.1
(61.0)","14.0
(57.2)","11.8
(53.2)","10.9
(51.6)","11.3
(52.3)","12.7
(54.9)","14.2
(57.6)","15.7
(60.3)","17.8
(64.0)","15.2
(59.4)",[355]
28,213,Papua New Guinea,Port Moresby,"27.4
(81.3)","27.3
(81.1)","27.1
(80.8)","27.0
(80.6)","26.9
(80.4)","26.1
(79.0)","25.7
(78.3)","26.1
(79.0)","26.5
(79.7)","27.5
(81.5)","27.6
(81.7)","27.8
(82.0)","26.9
(80.4)",[356]
29,213,Argentina,Buenos Aires,"24.9
(76.8)","23.6
(74.5)","21.9
(71.4)","17.9
(64.2)","14.5
(58.1)","11.7
(53.1)","11.0
(51.8)","12.8
(55.0)","14.6
(58.3)","17.9
(64.2)","20.7
(69.3)","23.3
(73.9)","17.9
(64.2)",[360]
30,213,Brazil,Rio de Janeiro,"26.3
(79.3)","26.6
(79.9)","26.0
(78.8)","24.4
(75.9)","22.8
(73.0)","21.8
(71.2)","21.3
(70.3)","21.8
(71.2)","22.2
(72.0)","22.9
(73.2)","24.0
(75.2)","25.3
(77.5)","23.8
(74.8)",[365]
31,213,Chile,Santiago,"21.2
(70.2)","20.3
(68.5)","18.2
(64.8)","14.4
(57.9)","10.9
(51.6)","9.0
(48.2)","8.2
(46.8)","9.8
(49.6)","12.0
(53.6)","15.0
(59.0)","17.7
(63.9)","20.1
(68.2)","14.7
(58.5)",[366]
32,31,Colombia,Bogotá,"14.3
(57.7)","14.5
(58.1)","14.9
(58.8)","14.9
(58.8)","15.0
(59.0)","14.5
(58.1)","14.6
(58.3)","14.1
(57.4)","14.3
(57.7)","14.3
(57.7)","14.4
(57.9)","14.6
(58.3)","14.4
(57.9)",[367]
33,213,Peru,Lima,"22.1
(71.8)","22.7
(72.9)","22.2
(72.0)","20.6
(69.1)","18.8
(65.8)","17.5
(63.5)","16.7
(62.1)","16.2
(61.2)","16.4
(61.5)","17.3
(63.1)","18.7
(65.7)","20.7
(69.3)","19.2
(66.6)",[376]
34,213,Uruguay,Montevideo,"23.0
(73.4)","22.5
(72.5)","20.6
(69.1)","17.2
(63.0)","14.0
(57.2)","11.1
(52.0)","10.9
(51.6)","11.7
(53.1)","13.4
(56.1)","16.0
(60.8)","18.6
(65.5)","21.3
(70.3)","16.7
(62.1)",[379]
35,31,Venezuela,Caracas,"20.2
(68.4)","20.8
(69.4)","21.7
(71.1)","22.7
(72.9)","23.2
(73.8)","22.6
(72.7)","22.2
(72.0)","22.3
(72.1)","22.7
(72.9)","22.4
(72.3)","22.0
(71.6)","20.7
(69.3)","22.0
(71.6)",[380]
36,31,Greenland,Nuuk,"-7.4
(18.7)","-7.8
(18.0)","-8
(18)","-3.8
(25.2)","0.6
(33.1)","3.9
(39.0)","6.5
(43.7)","6.1
(43.0)","3.5
(38.3)","-0.7
(30.7)","-3.7
(25.3)","-6.2
(20.8)","-1.4
(29.5)",[274]
37,31,Algeria,Algiers,"11.2
(52.2)","11.9
(53.4)","12.8
(55.0)","14.7
(58.5)","17.7
(63.9)","21.3
(70.3)","24.6
(76.3)","25.2
(77.4)","23.2
(73.8)","19.4
(66.9)","15.2
(59.4)","12.1
(53.8)","17.4
(63.3)",[1]
38,31,Egypt,Cairo,"13.6
(56.5)","14.9
(58.8)","16.9
(62.4)","21.2
(70.2)","24.5
(76.1)","27.3
(81.1)","27.6
(81.7)","27.4
(81.3)","26
(79)","23.3
(73.9)","18.9
(66.0)","15
(59)","21.4
(70.5)",[2
39,213,South Africa,Pretoria,"22.6
(72.7)","22.1
(71.8)","21.0
(69.8)","17.9
(64.2)","14.7
(58.5)","11.5
(52.7)","11.9
(53.4)","14.7
(58.5)","18.6
(65.5)","20.1
(68.2)","21.0
(69.8)","21.9
(71.4)","18.2
(64.8)",[
