#,Country,Ventilators
1,Japan,45293
2,"Korea, South",9795
3,Russia,40000
4,Germany,25000
5,Austria,2500
6,Hungary,2560
7,Czechia,3529
8,Poland,10100
9,Lithuania,1000
10,France,9236
11,Slovakia,600
21,Australia,1314
22,Norway,800
23,Portugal,1400
26,Italy,5324
31,Turkey,17000
32,US,177000
33,New Zealand,334
35,United Kingdom,5000
37,Sweden,570
40,India,47481
41,Mexico,2050
42,Ukraine,3600
43,Israel,2864
